film,year,script type,Rotten Tomatoes prcnt,Metacritic prcnt,Average critics prcnt,Rotten Tomatoes Audience prcnt,Metacritic Audience prcnt,Rotten Tomatoes vs Metacritic prcnt deviance,Average audience prcnt,Audience vs Critics deviance prcnt,Genre,Opening Weekend,Opening weekend (million),Domestic Gross,Domestic gross (million),Foreign Gross (million),Foreign Gross,Worldwide Gross,Worldwide Gross (million),prcnt of Gross earned abroad,Budget (million),prcnt Budget recovered,prcnt Budget recovered opening weekend,Oscar Winners,Oscar Detail,link,None
Spy,2015,original screenplay,93,75,84,81,58,23,69.5,14.5,comedy,"29,085,719",29.09,110825712,110.83,124.84,124840507,"235,666,219",236,52.97%,65,362.56%,44.75%,,,http://www.amazon.com/gp/product/B013EZQV6E/?tag=titb-20,1
Maze Runner: The Scorch Trials,2015,sequel,49,43,46,63,65,-2,64,-18,"action, adventure","30,316,510",30.32,79809643,79.81,218.64,218644323,"298,453,966",298,73.26%,61,489.27%,49.70%,,,http://www.amazon.com/gp/product/B018HCDOVY/?tag=titb-20,1
Mortdecai,2015,adaptation,12,27,19.5,30,32,-2,31,-11.5,"action, comedy","4,200,586",4.20,7696134,7.70,39.58,39579561,"47,275,695",47,83.72%,60,78.79%,7.00%,,,http://www.amazon.com/gp/product/B00SNQWXZS/?tag=titb-20,1
Joy,2015,based on a true story,57,55,56,58,67,-9,62.5,-6.5,"comedy, drama","17,015,168",17.02,55343624,55.34,39.77,39769949,"95,113,573",95,41.81%,60,158.52%,28.36%,,,http://www.amazon.com/gp/product/B003SI605K/?tag=titb-20,1
Goosebumps,2015,adaptation,77,60,68.5,66,70,-4,68,0.5,"horror, comedy","23,618,556",23.62,57436461,57.44,18.60,18600000,"76,036,461",76,24.46%,58,131.10%,40.72%,,,http://www.amazon.com/gp/product/B016Q1LRPI/?tag=titb-20,1
Everest,2015,based on a true story,72,64,68,73,72,1,72.5,-4.5,thriller,"13,242,895",13.24,42390910,42.39,134.50,134495740,"176,886,650",177,76.03%,55,321.61%,24.08%,,,http://www.amazon.com/gp/product/B018JQRT6Y/?tag=titb-20,1
Crimson Peak,2015,original screenplay,69,66,67.5,62,73,-11,67.5,0,horror,"13,143,310",13.14,27961325,27.96,34.38,34377759,"62,339,084",62,55.15%,55,113.34%,23.90%,,,http://www.amazon.com/gp/product/B016Q1LVIG/?tag=titb-20,1
Black Mass,2015,adaptation,76,68,72,97,77,20,87,-15,"crime, drama","22,635,037",22.64,61853408,61.85,18.50,18500000,"80,353,408",80,23.02%,53,151.61%,42.71%,,,http://www.amazon.com/gp/product/B015IVK1BS/?tag=titb-20,1
Daddy's Home,2015,original screenplay,30,42,36,64,60,4,62,-26,comedy,"38,740,203",38.74,143005343,143.01,67.60,67600000,"210,605,343",211,32.10%,50,421.21%,77.48%,,,http://www.amazon.com/gp/product/B019YHGMBK/?tag=titb-20,1
Focus,2015,original screenplay,57,56,56.5,54,62,-8,58,-1.5,comedy,"18,685,137",18.69,53862963,53.86,104.90,104900000,"158,762,963",159,66.07%,50,317.53%,37.37%,,,http://www.amazon.com/gp/product/B00YORD6AQ/?tag=titb-20,1
Run All Night,2015,original screenplay,60,59,59.5,58,75,-17,66.5,-7,action,"11,012,305",11.01,26461644,26.46,45.10,45100000,"71,561,644",72,63.02%,50,143.12%,22.02%,,,http://www.amazon.com/gp/product/B00X8CYDN2/?tag=titb-20,1
Chappie,2015,adaptation,31,41,36,57,73,-16,65,-29,"sci-fi, action","13,346,782",13.35,31569268,31.57,70.50,70500000,"102,069,268",102,69.07%,49,208.30%,27.24%,,,http://www.amazon.com/gp/product/B00ZRCSJ5E/?tag=titb-20,1
The Hateful Eight,2015,original screenplay,77,69,73,77,74,3,75.5,-2.5,western,"4,610,676",4.61,52316982,52.32,51.01,51007561,"103,324,543",103,49.37%,44,234.83%,10.48%,,,http://www.amazon.com/gp/product/B01A1FDRP8/?tag=titb-20,1
Fifty Shades of Grey,2015,adaptation,24,46,35,42,31,11,36.5,-1.5,romance,"85,171,450",85.17,166167230,166.17,403.48,403484237,"569,651,467",570,70.83%,40,1424.13%,212.93%,,,http://www.amazon.com/gp/product/B00VGRCBOY/?tag=titb-20,1
The Gunman,2015,adaptation,16,39,27.5,34,45,-11,39.5,-12,thriller,"5,028,702",5.03,10664749,10.66,5.9,5900000,"16,564,749",17,35.62%,40,41.41%,12.57%,,,http://www.amazon.com/gp/product/B00ZPWJU7C/?tag=titb-20,1
Victor Frankenstein,2015,adaptation,27,36,31.5,42,53,-11,47.5,-16,drama,"2,469,341",2.47,5773519,5.77,27.36,27363123,"33,136,642",33,82.58%,40,82.84%,6.17%,,,http://www.amazon.com/gp/product/B018ITLEHC/?tag=titb-20,1
Bridge of Spies,2015,based on a true story,92,81,86.5,98,80,18,89,-2.5,"thriller, history","15,371,203",15.37,72232000,72.23,92.10,92100000,"164,332,000",164,56.05%,40,410.83%,38.43%,,,http://www.amazon.com/gp/product/B01B5H1SIY/?tag=titb-20,1
Get Hard,2015,original screenplay,29,34,31.5,48,38,10,43,-11.5,comedy,"33,803,253",33.80,"90,411,453",90.41,21.30,"21,300,000","111,711,453",112,19.07%,40,279.28%,84.51%,,,http://www.amazon.com/gp/product/B010O68E0C/?tag=titb-20,1
Aloha,2015,original screenplay,19,40,29.5,31,44,-13,37.5,-8,"comedy, drama","9,670,235",9.67,21067116,21.07,5.18,5182904,"26,250,020",26,19.74%,37,70.95%,26.14%,,,http://www.amazon.com/gp/product/B00ZAQNRCM/?tag=titb-20,1
Burnt,2015,original screenplay,28,42,35,89,44,45,66.5,-31.5,comedy,"5,002,521",5.00,5002521,5.00,4.58,4577251,"9,579,772",10,47.78%,37,25.89%,13.52%,,,http://www.amazon.com/gp/product/B017CDG46G/?tag=titb-20,1
Creed,2015,sequel,93,82,87.5,92,86,6,89,-1.5,drama,"29,632,823",29.63,96986653,96.99,10.20,10200000,"107,186,653",107,9.52%,37,289.69%,80.09%,,,http://www.amazon.com/gp/product/B017WRCU92/?tag=titb-20,1
Hitman: Agent 47,2015,adaptation,7,28,17.5,47,37,10,42,-24.5,"action, adventure","8,326,530",8.33,22467450,22.47,59.79,59792987,"82,260,437",82,72.69%,35,235.03%,23.79%,,,http://www.amazon.com/gp/product/B018HIW658/?tag=titb-20,1
The Walk,2015,based on a true story,86,70,78,84,74,10,79,-1,adventure,"3,719,177",3.72,10137502,10.14,41.10,41101314,"51,238,816",51,80.22%,35,146.40%,10.63%,,,http://www.amazon.com/gp/product/B017ORBC1W/?tag=titb-20,1
Concussion,2015,"based on a true story, adaptation",60,56,58,76,62,14,69,-11,drama,"10,500,000",10.50,33938587,33.94,4.76,4762465,"38,701,052",39,12.31%,35,110.57%,30.00%,,,http://www.amazon.com/gp/product/B00FMOBNKA/?tag=titb-20,1
Hot Pursuit,2015,original screenplay,8,31,19.5,37,38,-1,37.5,-18,comedy,"13,942,258",13.94,34580201,34.58,16.80,16800000,"51,380,201",51,32.70%,35,146.80%,39.84%,,,http://www.amazon.com/gp/product/B00XCGUISI/?tag=titb-20,1
The Intern,2015,original screenplay,60,51,55.5,78,64,14,71,-15.5,comedy,"17,728,313",17.73,71334552,71.33,109.30,109300000,"180,634,552",181,60.51%,35,516.10%,50.65%,,,http://www.amazon.com/gp/product/B015SK5Y4S/?tag=titb-20,1
Trainwreck,2015,original screenplay,85,75,80,73,57,16,65,15,comedy,"30,097,040",30.10,110038130,110.04,28.29,28288853,"138,326,983",138,20.45%,35,395.22%,85.99%,,,http://www.amazon.com/gp/product/B017QHYW1W/?tag=titb-20,1
Unfinished Business,2015,original screenplay,11,32,21.5,27,38,-11,32.5,-11,comedy,"4,772,613",4.77,10219501,10.22,4.21,4211752,"14,431,253",14,29.18%,35,41.23%,13.64%,,,http://www.amazon.com/gp/product/B00UBRGMI6/?tag=titb-20,1
Poltergeist,2015,remake / reboot,31,47,39,23,36,-13,29.5,9.5,horror,"22,260,386",22.26,47425125,47.43,48.01,48012869,"95,437,994",95,50.31%,35,272.68%,63.60%,,,http://www.amazon.com/gp/product/B011AK040Y/?tag=titb-20,1
The Longest Ride,2015,adaptation,30,33,31.5,73,48,25,60.5,-29,romance,"13,019,686",13.02,37446117,37.45,25.50,25498698,"62,944,815",63,40.51%,34,185.13%,38.29%,,,http://www.amazon.com/gp/product/B00VWQ2P8G/?tag=titb-20,1
Vacation,2015,sequel,26,34,30,52,61,-9,56.5,-26.5,comedy,"14,681,108",14.68,58884188,58.88,45.20,45200000,"104,084,188",104,43.43%,31,335.76%,47.36%,,,http://www.amazon.com/gp/product/B012Y4GPYE/?tag=titb-20,1
Entourage,2015,adaptation,32,38,35,64,51,13,57.5,-22.5,comedy,"10,283,250",10.28,32363404,32.36,12.20,12200000,"44,563,404",45,27.38%,30,148.54%,34.28%,,,http://www.amazon.com/gp/product/B00YSRRDRY/?tag=titb-20,1
Steve Jobs,2015,based on a true story,85,82,83.5,77,63,14,70,13.5,drama,"7,105,735",7.11,16658868,16.66,15.9,15900000,"32,558,868",33,48.83%,30,108.53%,23.69%,,,http://www.amazon.com/gp/product/B016C9WTP6/?tag=titb-20,1
Sicario,2015,original screenplay,93,81,87,88,85,3,86.5,0.5,"action, drama","12,148,041",12.15,43923193,43.92,29.98,29982451,"73,905,644",74,40.57%,30,246.35%,40.49%,,,http://www.amazon.com/gp/product/B0162LLAQS/?tag=titb-20,1
Sisters,2015,original screenplay,59,58,58.5,63,63,0,63,-4.5,comedy,"13,922,855",13.92,86126310,86.13,15.10,15100000,"101,226,310",101,14.92%,30,337.42%,46.41%,,,http://www.amazon.com/gp/product/B019EJYASU/?tag=titb-20,1
Southpaw,2015,original screenplay,59,57,58,78,80,-2,79,-21,drama,"16,701,294",16.70,52421953,52.42,38.48,38481462,"90,903,415",91,42.33%,30,303.01%,55.67%,,,http://www.amazon.com/gp/product/B0175FQZJC/?tag=titb-20,1
Paul Blart: Mall Cop 2,2015,sequel,5,13,9,36,24,12,30,-21,comedy,"23,762,435",23.76,71038190,71.04,36.49,36492537,"107,530,727",108,33.94%,30,358.44%,79.21%,,,http://www.amazon.com/gp/product/B00W96OEV4/?tag=titb-20,1
Pitch Perfect 2,2015,sequel,66,63,64.5,67,57,10,62,2.5,comedy,"69,216,890",69.22,183785415,183.79,101.38,101380369,"285,165,784",285,35.55%,29,983.33%,238.68%,,,http://www.amazon.com/gp/product/B015O6OZUA/?tag=titb-20,1
The Big Short,2015,adaptation,87,81,84,89,89,0,89,-5,drama,"10,531,026",10.53,60900477,60.90,41.80,41800000,"102,700,477",103,40.70%,28,366.79%,37.61%,,,http://www.amazon.com/gp/product/B019969US8/?tag=titb-20,1
Straight Outta Compton,2015,based on a true story,89,72,80.5,94,75,19,84.5,-4,drama,"60,200,180",60.20,161058813,161.06,38.85,38854128,"199,912,941",200,19.44%,28,713.97%,215.00%,,,http://www.amazon.com/gp/product/B018JQTUQG/?tag=titb-20,1
American Ultra,2015,original screenplay,45,50,47.5,51,64,-13,57.5,-10,"action, comedy","5,454,284",5.45,14440985,14.44,1.00,1000000,"15,440,985",15,6.48%,28,55.15%,19.48%,,,http://www.amazon.com/gp/product/B018BF2CSI/?tag=titb-20,1
The 33,2015,based on a true story,42,55,48.5,63,52,11,57.5,-9,drama,"5,787,266",5.79,11944890,11.94,12.68,12675001,"24,619,891",25,51.48%,26,94.69%,22.26%,,,http://www.amazon.com/gp/product/B01B3NR5ZK/?tag=titb-20,1
Self/less,2015,original screenplay,21,34,27.5,49,84,-35,66.5,-39,"sci-fi, thriller","5,403,460",5.40,12279691,12.28,0,0,"12,279,691",12,0.00%,26,47.23%,20.78%,,,http://www.amazon.com/gp/product/B017QHDEW0/?tag=titb-20,1
Shaun the Sheep Movie,2015,adaptation,99,81,90,82,89,-7,85.5,4.5,animation,"4,038,962",4.04,19375982,19.38,64.10,64100000,"83,475,982",83,76.79%,25,333.90%,16.16%,,,http://www.amazon.com/gp/product/B013G1EFIC/?tag=titb-20,1
Woodlawn,2015,based on a true story,83,57,70,91,78,13,84.5,-14.5,drama,"4,002,226",4.00,12515813,12.52,2,2000000,"14,515,813",15,13.78%,25,58.06%,16.01%,,,http://www.amazon.com/gp/product/B01AMUSHAC/?tag=titb-20,1
The Night Before,2015,original screenplay,67,58,62.5,72,62,10,67,-4.5,comedy,"9,880,536",9.88,42800601,42.80,7.33,7334506,"50,135,107",50,14.63%,25,200.54%,39.52%,,,http://www.amazon.com/gp/product/B018AEY8HI/?tag=titb-20,1
The Wedding Ringer,2015,original screenplay,27,35,31,65,31,34,48,-17,comedy,"20,649,306",20.65,64460211,64.46,15.34,15339669,"79,799,880",80,19.22%,23,346.96%,89.78%,,,http://www.amazon.com/gp/product/B00SBZL7F8/?tag=titb-20,1
The Transporter Refueled,2015,sequel,17,32,24.5,35,43,-8,39,-14.5,action,"7,355,622",7.36,16016485,16.02,16.02,16016485,"32,032,970",32,50.00%,22,145.60%,33.43%,,,http://www.amazon.com/gp/product/B018SVS6BW/?tag=titb-20,1
Far from the Madding Crowd,2015,adaptation,85,71,78,77,75,2,76,2,drama,"2,287,234",2.29,12236500,12.24,17.99,17993477,"30,229,977",30,59.52%,20,151.15%,11.44%,,,http://www.amazon.com/gp/product/B011PXGR1Q/?tag=titb-20,1
Mr. Holmes,2015,adaptation,87,67,77,76,79,-3,77.5,-0.5,"crime, drama","2,434,908",2.43,17737646,17.74,11,11000000,"28,737,646",29,38.28%,20,143.69%,12.17%,,,http://www.amazon.com/gp/product/B017TDZESS/?tag=titb-20,1
My All American,2015,based on a true story,34,34,34,83,53,30,68,-34,drama,"1,365,000",1.37,2246000,2.25,0,0,"2,246,000",2,0.00%,20,11.23%,6.83%,,,http://www.amazon.com/gp/product/B01BZLIO32/?tag=titb-20,1
Spotlight,2015,based on a true story,96,90,93,95,89,6,92,1,drama,"295,009",0.30,295009,0.30,16.1,16100000,"16,395,009",16,98.20%,20,81.98%,1.48%,,,http://www.amazon.com/gp/product/B01AZ86I2U/?tag=titb-20,1
Little Boy,2015,original screenplay,20,30,25,80,62,18,71,-46,drama,"2,750,356",2.75,6485961,6.49,11.3,11300000,"17,785,961",18,63.53%,20,88.93%,13.75%,,,http://www.amazon.com/gp/product/B0142KGGNS/?tag=titb-20,1
Max,2015,original screenplay,35,47,41,73,56,17,64.5,-23.5,family,"12,155,254",12.16,42656255,42.66,1.3,1300000,"43,956,255",44,2.96%,20,219.78%,60.78%,,,http://www.amazon.com/gp/product/B017C11VP2/?tag=titb-20,1
Secret in Their Eyes,2015,adaptation,41,45,43,41,43,-2,42,1,thriller,"6,652,996",6.65,20047288,20.05,9.3,9300000,"29,347,288",29,31.69%,19.5,150.50%,34.12%,,,http://www.amazon.com/gp/product/B01BIKUOSI/?tag=titb-20,1
Ricki and the Flash,2015,original screenplay,64,54,59,51,69,-18,60,-1,"comedy, drama","6,610,961",6.61,26822144,26.82,13.27,13270979,"40,093,123",40,33.10%,18,222.74%,36.73%,,,http://www.amazon.com/gp/product/B018CBR0C4/?tag=titb-20,1
Magic Mike XXL,2015,sequel,62,60,61,61,55,6,58,3,"comedy, drama","12,857,184",12.86,66013057,66.01,51.80,51800000,"117,813,057",118,43.97%,17.8,661.87%,72.23%,,,http://www.amazon.com/gp/product/B016887N70/?tag=titb-20,1
McFarland,2015,based on a true story,79,60,69.5,89,73,16,81,-11.5,"sports, drama","11,020,798",11.02,44482410,44.48,1.2,1200000,"45,682,410",46,2.63%,17,268.72%,64.83%,,,http://www.amazon.com/gp/product/B00YCVD78A/?tag=titb-20,1
Krampus,2015,adaptation,65,49,57,60,74,-14,67,-10,"horror, comedy","16,293,325",16.29,42725475,42.73,19.02,19020015,"61,745,490",62,30.80%,15,411.64%,108.62%,,,http://www.amazon.com/gp/product/B016568H4S/?tag=titb-20,1
Ex Machina,2015,original screenplay,92,78,85,85,80,5,82.5,2.5,"sci-fi, thriller","5,349,500",5.35,25442958,25.44,11.43,11426456,"36,869,414",37,30.99%,15,245.80%,35.66%,,,http://www.amazon.com/gp/product/B00VWQ3LQG/?tag=titb-20,1
Hot Tub Time Machine 2,2015,sequel,14,29,21.5,28,34,-6,31,-9.5,comedy,"5,963,324",5.96,12314651,12.31,0.77,767000,"13,081,651",13,5.86%,14,93.44%,42.60%,,,http://www.amazon.com/gp/product/B00VRTFJYK/?tag=titb-20,1
Paper Towns,2015,adaptation,56,56,56,52,64,-12,58,-2,drama,"12,650,140",12.65,32000304,32.00,53.51,53511996,"85,512,300",86,62.58%,12,712.60%,105.42%,,,http://www.amazon.com/gp/product/B016VLE24Q/?tag=titb-20,1
The Perfect Guy,2015,original screenplay,19,36,27.5,54,29,25,41.5,-14,thriller,"25,888,154",25.89,56667921,56.67,2.31,2308735,"58,976,656",59,3.91%,12,491.47%,215.73%,,,http://www.amazon.com/gp/product/B0159COAXQ/?tag=titb-20,1
Woman in Gold,2015,based on a true story,52,51,51.5,81,71,10,76,-24.5,drama,"2,091,551",2.09,33307195,33.31,26.19,26185890,"59,493,085",59,44.02%,11,540.85%,19.01%,,,http://www.amazon.com/gp/product/B0101432XQ/?tag=titb-20,1
Danny Collins,2015,based on a true story,77,58,67.5,74,70,4,72,-4.5,"comedy, drama","1,479,158",1.48,5637066,5.64,2.8,2800000,"8,437,066",8,33.19%,10,84.37%,14.79%,,,http://www.amazon.com/gp/product/B00ZGTS68S/?tag=titb-20,1
